predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T2	lDLPFC_to_lPTL_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lDLPFC_to_lIFG_T2	rDLPFC_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
lDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.13220360306766948	0.10541737022218674	2.344514870149284e-05	8.038336697654688e-05
lDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.13220360306766948	0.10541737022218674	2.344514870149284e-05	8.038336697654688e-05
lDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.13220360306766948	0.12192769463445328	0.11123812939397108	0.15820533958253666
lDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
lDLPFC_to_lPTL_T2	rDLPFC_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
lDLPFC_to_lPTL_T2	rDLPFC_to_lPTL_T2	0.13220360306766948	0.10541737022218674	2.344514870149284e-05	8.038336697654688e-05
lDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.13220360306766948	0.10541737022218674	2.344514870149284e-05	8.038336697654688e-05
lDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.13220360306766948	0.12192769463445328	0.11123812939397108	0.15820533958253666
lDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
rDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.1649544535104245	0.10541737022218674	1.2072075106633832e-13	2.89729802559212e-12
rDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.1649544535104245	0.10541737022218674	1.2072075106633832e-13	2.89729802559212e-12
rDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.1649544535104245	0.13220360306766948	5.139353837183264e-07	2.4668898418479667e-06
rDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.1649544535104245	0.12192769463445328	6.936035780785131e-06	2.7744143123140523e-05
rDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.1649544535104245	0.13220360306766948	5.139353837183264e-07	2.4668898418479667e-06
rDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.1649544535104245	0.1649544535104245	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.10541737022218674	0.10541737022218674	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.10541737022218674	0.13220360306766948	2.344514870149284e-05	8.038336697654688e-05
rDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.10541737022218674	0.12192769463445328	0.044569564507253065	0.07923478134622768
rDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.10541737022218674	0.13220360306766948	2.344514870149284e-05	8.038336697654688e-05
rDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.10541737022218674	0.1649544535104245	1.2072075106633832e-13	2.89729802559212e-12
lSMA_to_lIFG_T2	lSMA_to_lPTL_T2	0.10541737022218674	0.13220360306766948	2.344514870149284e-05	8.038336697654688e-05
lSMA_to_lIFG_T2	lIFG_to_lPTL_T2	0.10541737022218674	0.12192769463445328	0.044569564507253065	0.07923478134622768
lSMA_to_lIFG_T2	lPTL_to_lIFG_T2	0.10541737022218674	0.13220360306766948	2.344514870149284e-05	8.038336697654688e-05
lSMA_to_lIFG_T2	rIFG_to_lIFG_T2	0.10541737022218674	0.1649544535104245	1.2072075106633832e-13	2.89729802559212e-12
lSMA_to_lPTL_T2	lIFG_to_lPTL_T2	0.13220360306766948	0.12192769463445328	0.11123812939397108	0.15820533958253666
lSMA_to_lPTL_T2	lPTL_to_lIFG_T2	0.13220360306766948	0.13220360306766948	0.5	0.5
lSMA_to_lPTL_T2	rIFG_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
lIFG_to_lPTL_T2	lPTL_to_lIFG_T2	0.12192769463445328	0.13220360306766948	0.11123812939397108	0.15820533958253666
lIFG_to_lPTL_T2	rIFG_to_lIFG_T2	0.12192769463445328	0.1649544535104245	6.936035780785131e-06	2.7744143123140523e-05
lPTL_to_lIFG_T2	rIFG_to_lIFG_T2	0.13220360306766948	0.1649544535104245	5.139353837183264e-07	2.4668898418479667e-06
