predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T1	lDLPFC_to_lPTL_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lDLPFC_to_lIFG_T1	rDLPFC_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
lDLPFC_to_lIFG_T1	rDLPFC_to_lPTL_T1	0.13042825286324816	0.13209475638633147	0.389745042493273	0.5
lDLPFC_to_lIFG_T1	lSMA_to_lIFG_T1	0.13042825286324816	0.13209475638633147	0.389745042493273	0.5
lDLPFC_to_lIFG_T1	lSMA_to_lPTL_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lDLPFC_to_lIFG_T1	lIFG_to_lPTL_T1	0.13042825286324816	0.13998334111683725	0.10826493967234267	0.23972950927447306
lDLPFC_to_lIFG_T1	lPTL_to_lIFG_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lDLPFC_to_lIFG_T1	rIFG_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
lDLPFC_to_lPTL_T1	rDLPFC_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
lDLPFC_to_lPTL_T1	rDLPFC_to_lPTL_T1	0.13042825286324816	0.13209475638633147	0.389745042493273	0.5
lDLPFC_to_lPTL_T1	lSMA_to_lIFG_T1	0.13042825286324816	0.13209475638633147	0.389745042493273	0.5
lDLPFC_to_lPTL_T1	lSMA_to_lPTL_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lDLPFC_to_lPTL_T1	lIFG_to_lPTL_T1	0.13042825286324816	0.13998334111683725	0.10826493967234267	0.23972950927447306
lDLPFC_to_lPTL_T1	lPTL_to_lIFG_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lDLPFC_to_lPTL_T1	rIFG_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
rDLPFC_to_lIFG_T1	rDLPFC_to_lPTL_T1	0.11761316699018877	0.13209475638633147	0.017564000890459563	0.05698088660974672
rDLPFC_to_lIFG_T1	lSMA_to_lIFG_T1	0.11761316699018877	0.13209475638633147	0.017564000890459563	0.05698088660974672
rDLPFC_to_lIFG_T1	lSMA_to_lPTL_T1	0.11761316699018877	0.13042825286324816	0.01718882782851016	0.05698088660974672
rDLPFC_to_lIFG_T1	lIFG_to_lPTL_T1	0.11761316699018877	0.13998334111683725	0.003865518592406372	0.016340601322445115
rDLPFC_to_lIFG_T1	lPTL_to_lIFG_T1	0.11761316699018877	0.13042825286324816	0.01718882782851016	0.05698088660974672
rDLPFC_to_lIFG_T1	rIFG_to_lIFG_T1	0.11761316699018877	0.11761316699018877	0.5	0.5
rDLPFC_to_lPTL_T1	lSMA_to_lIFG_T1	0.13209475638633147	0.13209475638633147	0.5	0.5
rDLPFC_to_lPTL_T1	lSMA_to_lPTL_T1	0.13209475638633147	0.13042825286324816	0.389745042493273	0.5
rDLPFC_to_lPTL_T1	lIFG_to_lPTL_T1	0.13209475638633147	0.13998334111683725	0.16992080583790592	0.35379033454310266
rDLPFC_to_lPTL_T1	lPTL_to_lIFG_T1	0.13209475638633147	0.13042825286324816	0.389745042493273	0.5
rDLPFC_to_lPTL_T1	rIFG_to_lIFG_T1	0.13209475638633147	0.11761316699018877	0.017564000890459563	0.05698088660974672
lSMA_to_lIFG_T1	lSMA_to_lPTL_T1	0.13209475638633147	0.13042825286324816	0.389745042493273	0.5
lSMA_to_lIFG_T1	lIFG_to_lPTL_T1	0.13209475638633147	0.13998334111683725	0.16992080583790592	0.35379033454310266
lSMA_to_lIFG_T1	lPTL_to_lIFG_T1	0.13209475638633147	0.13042825286324816	0.389745042493273	0.5
lSMA_to_lIFG_T1	rIFG_to_lIFG_T1	0.13209475638633147	0.11761316699018877	0.017564000890459563	0.05698088660974672
lSMA_to_lPTL_T1	lIFG_to_lPTL_T1	0.13042825286324816	0.13998334111683725	0.10826493967234267	0.23972950927447306
lSMA_to_lPTL_T1	lPTL_to_lIFG_T1	0.13042825286324816	0.13042825286324816	0.5	0.5
lSMA_to_lPTL_T1	rIFG_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
lIFG_to_lPTL_T1	lPTL_to_lIFG_T1	0.13998334111683725	0.13042825286324816	0.10826493967234267	0.23972950927447306
lIFG_to_lPTL_T1	rIFG_to_lIFG_T1	0.13998334111683725	0.11761316699018877	0.003865518592406372	0.016340601322445115
lPTL_to_lIFG_T1	rIFG_to_lIFG_T1	0.13042825286324816	0.11761316699018877	0.01718882782851016	0.05698088660974672
