predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T2	lDLPFC_to_lPTL_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lDLPFC_to_lIFG_T2	rDLPFC_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
lDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.08514103290724566	0.06592790218614526	0.00010657963487966232	0.0004796083569584805
lDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.08514103290724566	0.06592790218614526	0.00010657963487966232	0.0004796083569584805
lDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.08514103290724566	0.06446876620961674	0.0009758354853513193	0.004018548468503946
lDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
lDLPFC_to_lPTL_T2	rDLPFC_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
lDLPFC_to_lPTL_T2	rDLPFC_to_lPTL_T2	0.08514103290724566	0.06592790218614526	0.00010657963487966232	0.0004796083569584805
lDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.08514103290724566	0.06592790218614526	0.00010657963487966232	0.0004796083569584805
lDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.08514103290724566	0.06446876620961674	0.0009758354853513193	0.004018548468503946
lDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
rDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.07954695279776347	0.06592790218614526	0.011578108654209267	0.03512462291518706
rDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.07954695279776347	0.06592790218614526	0.011578108654209267	0.03512462291518706
rDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.07954695279776347	0.08514103290724566	0.13887961457757553	0.2669724629743685
rDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.07954695279776347	0.06446876620961674	0.01829875924965579	0.051030342696223197
rDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.07954695279776347	0.08514103290724566	0.13887961457757553	0.2669724629743685
rDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.07954695279776347	0.07954695279776347	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.06592790218614526	0.06592790218614526	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.06592790218614526	0.08514103290724566	0.00010657963487966232	0.0004796083569584805
rDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.06592790218614526	0.06446876620961674	0.4220389228992081	0.5
rDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.06592790218614526	0.08514103290724566	0.00010657963487966232	0.0004796083569584805
rDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.06592790218614526	0.07954695279776347	0.011578108654209267	0.03512462291518706
lSMA_to_lIFG_T2	lSMA_to_lPTL_T2	0.06592790218614526	0.08514103290724566	0.00010657963487966232	0.0004796083569584805
lSMA_to_lIFG_T2	lIFG_to_lPTL_T2	0.06592790218614526	0.06446876620961674	0.4220389228992081	0.5
lSMA_to_lIFG_T2	lPTL_to_lIFG_T2	0.06592790218614526	0.08514103290724566	0.00010657963487966232	0.0004796083569584805
lSMA_to_lIFG_T2	rIFG_to_lIFG_T2	0.06592790218614526	0.07954695279776347	0.011578108654209267	0.03512462291518706
lSMA_to_lPTL_T2	lIFG_to_lPTL_T2	0.08514103290724566	0.06446876620961674	0.0009758354853513193	0.004018548468503946
lSMA_to_lPTL_T2	lPTL_to_lIFG_T2	0.08514103290724566	0.08514103290724566	0.5	0.5
lSMA_to_lPTL_T2	rIFG_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
lIFG_to_lPTL_T2	lPTL_to_lIFG_T2	0.06446876620961674	0.08514103290724566	0.0009758354853513193	0.004018548468503946
lIFG_to_lPTL_T2	rIFG_to_lIFG_T2	0.06446876620961674	0.07954695279776347	0.01829875924965579	0.051030342696223197
lPTL_to_lIFG_T2	rIFG_to_lIFG_T2	0.08514103290724566	0.07954695279776347	0.13887961457757553	0.2669724629743685
