target	predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
T1	L_PTL	L_DLPFC	0.14172824742731913	0.14172824742731913	0.5	0.5
T1	L_PTL	L_IFGorb	0.14172824742731913	0.21472731984595703	5.7997854968987215e-21	1.2005555978580354e-18
T1	L_DLPFC	L_IFGorb	0.14172824742731913	0.21472731984595703	5.7997854968987215e-21	1.2005555978580354e-18
T2	L_PTL	L_DLPFC	0.16030749629539467	0.16030749629539467	0.5	0.5
T2	L_PTL	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	8.810205089714105e-11
T2	L_DLPFC	L_IFGorb	0.16030749629539467	0.21964322473876002	1.2768413173498702e-12	8.810205089714105e-11
T3	L_PTL	L_DLPFC	0.15123711382432523	0.15123711382432523	0.5	0.5
T3	L_PTL	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	3.6616415199839516e-07
T3	L_DLPFC	L_IFGorb	0.15123711382432523	0.19871426710125664	3.891599683074731e-08	3.6616415199839516e-07
T2-T1	L_PTL	L_DLPFC	0.24539351414019342	0.24539351414019342	0.5	0.5
T2-T1	L_PTL	L_IFGorb	0.24539351414019342	0.2514341719921734	0.28199110528208726	0.4596232975857643
T2-T1	L_DLPFC	L_IFGorb	0.24539351414019342	0.2514341719921734	0.28199110528208726	0.4596232975857643
T3-T2	L_PTL	L_DLPFC	0.16220749365355308	0.16220749365355308	0.5	0.5
T3-T2	L_PTL	L_IFGorb	0.16220749365355308	0.09781105062199412	9.267991821645146e-13	8.810205089714105e-11
T3-T2	L_DLPFC	L_IFGorb	0.16220749365355308	0.09781105062199412	9.267991821645146e-13	8.810205089714105e-11
T3-T1	L_PTL	L_DLPFC	0.25820211904579154	0.25820211904579154	0.5	0.5
T3-T1	L_PTL	L_IFGorb	0.25820211904579154	0.2677822683211775	0.14134275584130263	0.27090694869583004
T3-T1	L_DLPFC	L_IFGorb	0.25820211904579154	0.2677822683211775	0.14134275584130263	0.27090694869583004
