predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T2	lDLPFC_to_lPTL_T2	0.05455192622988002	0.047184382365915496	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lIFG_T2	rDLPFC_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.05455192622988002	0.03883533524663218	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.05455192622988002	0.047184382365915496	0.004995004995004995	0.008245722531436817
lDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.05455192622988002	0.109880978180324	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lPTL_T2	rDLPFC_to_lIFG_T2	0.047184382365915496	0.05455192622988002	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lPTL_T2	rDLPFC_to_lPTL_T2	0.047184382365915496	0.03883533524663218	0.00999000999000999	0.015984015984015984
lDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.047184382365915496	0.05455192622988002	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.047184382365915496	0.047184382365915496	1.0	1.0
lDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.047184382365915496	0.05455192622988002	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.047184382365915496	0.05455192622988002	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.047184382365915496	0.109880978180324	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.05455192622988002	0.03883533524663218	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
rDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.05455192622988002	0.047184382365915496	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
rDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
rDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.05455192622988002	0.109880978180324	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.03883533524663218	0.05455192622988002	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.03883533524663218	0.047184382365915496	0.012987012987012988	0.02069960690650346
rDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.03883533524663218	0.05455192622988002	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.03883533524663218	0.05455192622988002	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.03883533524663218	0.109880978180324	0.000999000999000999	0.0018470418470418473
lSMA_to_lIFG_T2	lSMA_to_lPTL_T2	0.05455192622988002	0.047184382365915496	0.001998001998001998	0.0034204478648923093
lSMA_to_lIFG_T2	lIFG_to_lPTL_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lSMA_to_lIFG_T2	lPTL_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lSMA_to_lIFG_T2	rIFG_to_lIFG_T2	0.05455192622988002	0.109880978180324	0.000999000999000999	0.0018470418470418473
lSMA_to_lPTL_T2	lIFG_to_lPTL_T2	0.047184382365915496	0.05455192622988002	0.001998001998001998	0.0034204478648923093
lSMA_to_lPTL_T2	lPTL_to_lIFG_T2	0.047184382365915496	0.05455192622988002	0.000999000999000999	0.0018470418470418473
lSMA_to_lPTL_T2	rIFG_to_lIFG_T2	0.047184382365915496	0.109880978180324	0.000999000999000999	0.0018470418470418473
lIFG_to_lPTL_T2	lPTL_to_lIFG_T2	0.05455192622988002	0.05455192622988002	1.0	1.0
lIFG_to_lPTL_T2	rIFG_to_lIFG_T2	0.05455192622988002	0.109880978180324	0.000999000999000999	0.0018470418470418473
lPTL_to_lIFG_T2	rIFG_to_lIFG_T2	0.05455192622988002	0.109880978180324	0.000999000999000999	0.0018470418470418473
